        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
3.006e+13 3.080e+13   30      0        0  1.36e+10  0.00e+00  0.00e+00  2.01e+40  4.57e-14  2.34e+10  4.48e+05  5.25e+05  5.90e-13  1.95e-12  0.00e+00  0.00e+00  1.00e-20 -1.84e+34 -1.06e+32 -1.14e+34  1.58e+07  1.09e+07  0.00e+00  1.08e+07 
3.155e+13 3.234e+13   31      0        0  1.41e+10  0.00e+00  0.00e+00  2.35e+40  4.66e-14  2.39e+10  4.31e+05  5.10e+05  3.74e-13  2.66e-12  0.00e+00  0.00e+00  1.00e-20 -2.01e+34  3.26e+32 -1.28e+34  1.42e+07  1.10e+07  0.00e+00  1.08e+07 
3.312e+13 3.395e+13   32      0        0  1.45e+10  0.00e+00  0.00e+00  2.74e+40  4.67e-14  2.40e+10  4.16e+05  4.95e+05  5.98e-13  3.31e-12  0.00e+00  0.00e+00  1.03e-20 -2.01e+34 -8.75e+31 -1.27e+34  1.31e+07  1.11e+07  0.00e+00  1.09e+07 
3.477e+13 3.563e+13   33      0        0  1.50e+10  0.00e+00  0.00e+00  3.20e+40  4.77e-14  2.45e+10  4.00e+05  4.82e+05  3.78e-13  3.05e-12  0.00e+00  0.00e+00  3.07e-20 -2.09e+34 -2.14e+32 -1.36e+34  1.18e+07  1.12e+07  0.00e+00  1.10e+07 
3.650e+13 3.741e+13   34      0        0  1.54e+10  0.00e+00  0.00e+00  3.74e+40  4.98e-14  2.55e+10  3.85e+05  4.68e+05  4.73e-13  2.61e-12  0.00e+00  0.00e+00  9.86e-20 -2.22e+34  3.73e+32 -1.48e+34  1.04e+07  1.12e+07  0.00e+00  1.10e+07 
3.832e+13 3.927e+13   35      0        0  1.58e+10  0.00e+00  0.00e+00  4.36e+40  5.25e-14  2.69e+10  3.71e+05  4.55e+05  4.42e-13  3.73e-12  0.00e+00  0.00e+00  3.27e-19 -2.43e+34 -1.43e+32 -1.57e+34  9.15e+06  1.13e+07  0.00e+00  1.11e+07 
4.022e+13 4.122e+13   36      0        0  1.61e+10  0.00e+00  0.00e+00  5.10e+40  5.34e-14  2.74e+10  3.57e+05  4.43e+05  7.98e-13  4.87e-12  0.00e+00  0.00e+00  9.69e-19 -2.51e+34 -2.60e+32 -1.62e+34  8.33e+06  1.14e+07  0.00e+00  1.12e+07 
4.222e+13 4.327e+13   37      0        0  1.65e+10  0.00e+00  0.00e+00  5.95e+40  5.51e-14  2.82e+10  3.45e+05  4.31e+05  8.80e-13  4.73e-12  0.00e+00  0.00e+00  2.99e-18 -2.66e+34 -3.85e+32 -1.68e+34  7.50e+06  1.15e+07  0.00e+00  1.12e+07 
4.432e+13 4.543e+13   38      0        0  1.68e+10  0.00e+00  0.00e+00  6.93e+40  5.79e-14  2.97e+10  3.33e+05  4.19e+05  7.22e-13  5.48e-12  0.00e+00  0.00e+00  9.16e-18 -2.80e+34 -9.13e+31 -1.79e+34  6.63e+06  1.16e+07  0.00e+00  1.13e+07 
4.653e+13 4.769e+13   39      0        0  1.71e+10  0.00e+00  0.00e+00  8.08e+40  6.09e-14  3.12e+10  3.22e+05  4.09e+05  1.06e-12  7.91e-12  0.00e+00  0.00e+00  2.74e-17 -2.96e+34  2.97e+32 -1.90e+34  5.85e+06  1.17e+07  0.00e+00  1.13e+07 
4.884e+13 5.006e+13   40      0        0  1.73e+10  0.00e+00  0.00e+00  9.42e+40  6.22e-14  3.19e+10  3.12e+05  3.98e+05  7.94e-13  6.46e-12  0.00e+00  0.00e+00  7.49e-17 -3.07e+34  1.28e+32 -1.95e+34  5.30e+06  1.17e+07  0.00e+00  1.14e+07 
5.127e+13 5.255e+13   41      0        0  1.76e+10  0.00e+00  0.00e+00  1.10e+41  6.39e-14  3.28e+10  3.02e+05  3.88e+05  1.52e-12  7.76e-12  0.00e+00  0.00e+00  2.24e-16 -3.20e+34  7.53e+31 -2.04e+34  4.78e+06  1.18e+07  0.00e+00  1.14e+07 
5.382e+13 5.516e+13   42      0        0  1.78e+10  0.00e+00  0.00e+00  1.28e+41  6.55e-14  3.36e+10  2.93e+05  3.79e+05  1.36e-12  7.10e-12  0.00e+00  0.00e+00  5.79e-16 -3.29e+34 -4.21e+31 -2.05e+34  4.32e+06  1.19e+07  0.00e+00  1.15e+07 
5.650e+13 5.791e+13   43      0        0  1.80e+10  0.00e+00  0.00e+00  1.48e+41  6.72e-14  3.45e+10  2.84e+05  3.70e+05  1.64e-12  1.05e-11  0.00e+00  0.00e+00  1.67e-15 -3.32e+34 -3.90e+32 -2.12e+34  3.89e+06  1.20e+07  0.00e+00  1.15e+07 
5.931e+13 6.079e+13   44      0        0  1.82e+10  0.00e+00  0.00e+00  1.73e+41  6.81e-14  3.49e+10  2.76e+05  3.61e+05  1.94e-12  8.63e-12  0.00e+00  0.00e+00  4.54e-15 -3.37e+34 -6.18e+32 -2.16e+34  3.55e+06  1.21e+07  0.00e+00  1.16e+07 
6.226e+13 6.381e+13   45      0        0  1.83e+10  0.00e+00  0.00e+00  2.01e+41  6.92e-14  3.55e+10  2.68e+05  3.52e+05  1.49e-12  8.63e-12  0.00e+00  0.00e+00  1.35e-14 -3.38e+34 -2.82e+32 -2.15e+34  3.22e+06  1.22e+07  0.00e+00  1.16e+07 
6.536e+13 6.699e+13   46      0        0  1.84e+10  0.00e+00  0.00e+00  2.33e+41  6.96e-14  3.57e+10  2.61e+05  3.43e+05  1.53e-12  1.06e-11  0.00e+00  0.00e+00  3.77e-14 -3.32e+34  3.60e+32 -2.10e+34  2.95e+06  1.22e+07  0.00e+00  1.16e+07 
6.861e+13 7.032e+13   47      0        0  1.85e+10  0.00e+00  0.00e+00  2.70e+41  6.96e-14  3.57e+10  2.54e+05  3.35e+05  1.95e-12  1.10e-11  0.00e+00  0.00e+00  7.23e-14 -3.30e+34  2.80e+32 -2.09e+34  2.71e+06  1.23e+07  0.00e+00  1.17e+07 
7.203e+13 7.382e+13   48      0        0  1.86e+10  0.00e+00  0.00e+00  3.13e+41  6.91e-14  3.54e+10  2.47e+05  3.27e+05  1.76e-12  1.13e-11  0.00e+00  0.00e+00  2.39e-13 -3.18e+34  3.63e+32 -2.01e+34  2.51e+06  1.24e+07  0.00e+00  1.17e+07 
7.561e+13 7.749e+13   49      0        0  1.86e+10  0.00e+00  0.00e+00  3.63e+41  6.91e-14  3.54e+10  2.41e+05  3.20e+05  2.35e-12  1.21e-11  0.00e+00  0.00e+00  3.73e-12 -3.19e+34 -1.03e+32 -1.95e+34  2.30e+06  1.25e+07  0.00e+00  1.17e+07 
7.937e+13 8.134e+13   50      0        0  1.87e+10  0.00e+00  0.00e+00  4.20e+41  6.87e-14  3.52e+10  2.35e+05  3.12e+05  2.03e-12  1.52e-11  0.00e+00  0.00e+00  6.22e-12 -3.17e+34  9.05e+32 -1.99e+34  2.13e+06  1.26e+07  0.00e+00  1.18e+07 
8.332e+13 8.539e+13   51      0        0  1.87e+10  0.00e+00  0.00e+00  4.85e+41  6.80e-14  3.49e+10  2.30e+05  3.05e+05  2.09e-12  1.59e-11  0.00e+00  0.00e+00  1.18e-11 -2.99e+34  2.39e+30 -1.92e+34  1.97e+06  1.27e+07  0.00e+00  1.18e+07 
8.746e+13 8.964e+13   52      0        0  1.86e+10  0.00e+00  0.00e+00  5.61e+41  6.71e-14  3.44e+10  2.25e+05  2.98e+05  2.42e-12  1.76e-11  0.00e+00  0.00e+00  3.21e-11 -2.91e+34 -1.63e+32 -1.84e+34  1.83e+06  1.29e+07  0.00e+00  1.18e+07 
9.181e+13 9.410e+13   53      0        0  1.86e+10  0.00e+00  0.00e+00  6.47e+41  6.60e-14  3.38e+10  2.20e+05  2.91e+05  2.41e-12  1.98e-11  0.00e+00  0.00e+00  3.44e-09 -2.88e+34 -1.56e+32 -1.86e+34  1.70e+06  1.30e+07  0.00e+00  1.18e+07 
9.638e+13 9.878e+13   54      0        0  1.85e+10  0.00e+00  0.00e+00  7.46e+41  6.50e-14  3.33e+10  2.16e+05  2.85e+05  2.23e-12  2.00e-11  0.00e+00  0.00e+00  3.97e-09 -2.73e+34  1.51e+32 -1.73e+34  1.58e+06  1.31e+07  0.00e+00  1.19e+07 
1.012e+14 1.037e+14   55      0        0  1.84e+10  0.00e+00  0.00e+00  8.59e+41  6.38e-14  3.27e+10  2.12e+05  2.78e+05  2.71e-12  2.38e-11  0.00e+00  0.00e+00  4.61e-09 -2.64e+34  3.53e+32 -1.65e+34  1.47e+06  1.32e+07  0.00e+00  1.19e+07 
1.062e+14 1.089e+14   56      0        0  1.83e+10  0.00e+00  0.00e+00  9.90e+41  6.30e-14  3.23e+10  2.09e+05  2.72e+05  1.89e-12  2.40e-11  0.00e+00  0.00e+00  5.37e-09 -2.55e+34 -1.80e+32 -1.60e+34  1.36e+06  1.34e+07  0.00e+00  1.19e+07 
1.115e+14 1.143e+14   57      0        0  1.81e+10  0.00e+00  0.00e+00  1.14e+42  6.21e-14  3.18e+10  2.05e+05  2.67e+05  2.54e-12  2.73e-11  0.00e+00  0.00e+00  6.21e-09 -2.50e+34 -6.74e+32 -1.67e+34  1.26e+06  1.35e+07  0.00e+00  1.20e+07 
1.170e+14 1.200e+14   58      0        0  1.79e+10  0.00e+00  0.00e+00  1.31e+42  6.12e-14  3.14e+10  2.03e+05  2.61e+05  2.77e-12  3.25e-11  0.00e+00  0.00e+00  3.68e-09 -2.47e+34 -4.64e+32 -1.54e+34  1.17e+06  1.37e+07  0.00e+00  1.20e+07 
1.229e+14 1.259e+14   59      0        0  1.77e+10  0.00e+00  0.00e+00  1.50e+42  6.04e-14  3.10e+10  2.00e+05  2.56e+05  3.23e-12  2.86e-11  0.00e+00  0.00e+00  8.32e-09 -2.41e+34  2.21e+32 -1.56e+34  1.08e+06  1.38e+07  0.00e+00  1.20e+07 
1.290e+14 1.322e+14   60      0        0  1.75e+10  0.00e+00  0.00e+00  1.73e+42  5.97e-14  3.06e+10  1.97e+05  2.51e+05  2.92e-12  3.66e-11  0.00e+00  0.00e+00  9.62e-09 -2.33e+34 -1.68e+32 -1.50e+34  9.96e+05  1.39e+07  0.00e+00  1.20e+07 
1.354e+14 1.388e+14   61      0        0  1.72e+10  0.00e+00  0.00e+00  1.98e+42  5.87e-14  3.01e+10  1.95e+05  2.46e+05  2.64e-12  3.78e-11  0.00e+00  0.00e+00  1.11e-08 -2.24e+34 -4.44e+32 -1.47e+34  9.21e+05  1.41e+07  0.00e+00  1.20e+07 
1.421e+14 1.457e+14   62      0        0  1.70e+10  0.00e+00  0.00e+00  2.28e+42  5.75e-14  2.95e+10  1.92e+05  2.42e+05  2.57e-12  4.13e-11  0.00e+00  0.00e+00  1.27e-08 -2.24e+34 -2.75e+32 -1.45e+34  8.54e+05  1.42e+07  0.00e+00  1.20e+07 
1.492e+14 1.529e+14   63      0        0  1.67e+10  0.00e+00  0.00e+00  2.61e+42  5.61e-14  2.88e+10  1.90e+05  2.37e+05  3.95e-12  4.25e-11  0.00e+00  0.00e+00  4.09e-10 -2.17e+34  2.05e+32 -1.40e+34  7.94e+05  1.43e+07  0.00e+00  1.20e+07 
