 i            r          v_r          rho          t_e          t_r
63 1.328794e+14 5.638890e+09 1.529633e-13 8.724084e+04 9.693426e+04
64 1.401934e+14 5.485040e+09 1.424867e-13 8.566696e+04 9.518551e+04
65 1.479099e+14 5.343709e+09 1.328803e-13 8.409374e+04 9.343748e+04
66 1.560512e+14 5.213711e+09 1.241665e-13 8.251965e+04 9.168849e+04
67 1.646405e+14 5.099536e+09 1.161688e-13 8.106657e+04 9.007397e+04
68 1.737027e+14 4.987202e+09 1.081061e-13 7.961808e+04 8.846453e+04
69 1.832636e+14 4.889201e+09 1.003168e-13 7.826093e+04 8.695659e+04
70 1.933508e+14 4.814925e+09 9.272946e-14 7.691932e+04 8.546591e+04
71 2.039932e+14 4.727298e+09 8.523729e-14 7.558393e+04 8.398214e+04
72 2.152214e+14 4.657677e+09 7.803671e-14 7.435932e+04 8.262147e+04
73 2.270676e+14 4.591393e+09 7.124378e-14 7.301026e+04 8.112252e+04
74 2.395658e+14 4.535115e+09 6.517300e-14 7.159655e+04 7.955172e+04
75 2.527520e+14 4.513294e+09 5.988929e-14 7.015901e+04 7.795445e+04
76 2.666639e+14 4.449289e+09 5.500450e-14 6.863577e+04 7.626197e+04
77 2.813417e+14 4.415113e+09 5.035903e-14 6.704237e+04 7.449152e+04
78 2.968273e+14 4.400230e+09 4.617780e-14 6.541974e+04 7.268860e+04
79 3.131652e+14 4.364446e+09 4.227873e-14 6.372337e+04 7.080375e+04
80 3.304024e+14 4.345588e+09 3.885020e-14 6.199135e+04 6.887928e+04
81 3.485884e+14 4.325125e+09 3.564511e-14 6.027861e+04 6.697623e+04
82 3.677754e+14 4.281910e+09 3.247438e-14 5.865531e+04 6.517257e+04
83 3.880185e+14 4.286536e+09 2.958858e-14 5.712954e+04 6.347727e+04
84 4.093758e+14 4.283243e+09 2.668775e-14 5.542712e+04 6.158569e+04
85 4.319086e+14 4.243238e+09 2.409968e-14 5.377195e+04 5.974661e+04
86 4.556817e+14 4.275738e+09 2.173305e-14 5.232310e+04 5.813678e+04
87 4.807634e+14 4.219972e+09 1.932258e-14 5.097106e+04 5.663451e+04
88 5.072255e+14 4.237498e+09 1.716297e-14 4.956335e+04 5.507039e+04
89 5.351442e+14 4.288630e+09 1.506070e-14 4.818990e+04 5.354434e+04
90 5.645996e+14 4.224743e+09 1.304456e-14 4.693866e+04 5.215407e+04
91 5.956763e+14 4.328039e+09 1.116914e-14 4.569782e+04 5.077535e+04
92 6.284634e+14 4.339294e+09 9.474514e-15 4.436477e+04 4.929418e+04
93 6.630553e+14 4.356788e+09 8.010667e-15 4.309397e+04 4.788218e+04
94 6.995512e+14 4.445415e+09 6.744218e-15 4.192844e+04 4.658716e+04
95 7.380558e+14 4.466095e+09 0.000000e+00 0.000000e+00 0.000000e+00
96 7.786799e+14 4.466095e+09 0.000000e+00 0.000000e+00 0.000000e+00
