  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
  0  66     -1 2.165319e+13 4.714286e+01  7.410736e+09 0.000000e+00  7.476864e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  67     -1 2.165319e+13 4.785714e+01  7.222498e+09 0.000000e+00  7.136845e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  68     -1 2.165319e+13 4.857143e+01  7.019471e+09 0.000000e+00  6.795444e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  69     -1 2.165319e+13 4.928571e+01  6.799914e+09 0.000000e+00  6.452799e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  70     -1 2.165319e+13 5.000000e+01  6.562629e+09 0.000000e+00  6.109527e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  71     -1 2.165319e+13 5.071429e+01  6.309153e+09 0.000000e+00  5.767021e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  72     -1 2.165319e+13 5.142857e+01  6.043997e+09 0.000000e+00  5.427876e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  73     -1 2.165319e+13 5.214286e+01  5.771898e+09 0.000000e+00  5.094500e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  74     -1 2.165319e+13 5.285714e+01  5.497821e+09 0.000000e+00  4.769262e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  75     -1 2.165319e+13 5.357143e+01  5.222331e+09 0.000000e+00  4.452838e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  76     -1 2.165319e+13 5.428571e+01  4.944913e+09 0.000000e+00  4.145628e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  77     -1 2.165319e+13 5.500000e+01  4.665283e+09 0.000000e+00  3.848318e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  78     -1 2.165319e+13 5.571429e+01  4.384857e+09 0.000000e+00  3.562270e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  79     -1 2.165319e+13 5.642857e+01  4.106296e+09 0.000000e+00  3.289031e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  80     -1 2.165319e+13 5.714286e+01  3.833805e+09 0.000000e+00  3.030783e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  81     -1 2.165319e+13 5.785714e+01  3.571923e+09 0.000000e+00  2.789673e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  82     -1 2.165319e+13 5.857143e+01  3.321864e+09 0.000000e+00  2.565817e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  83     -1 2.165319e+13 5.928571e+01  3.082811e+09 0.000000e+00  2.358273e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  84     -1 2.165319e+13 6.000000e+01  2.853991e+09 0.000000e+00  2.166218e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  85     -1 2.165319e+13 6.071429e+01  2.636189e+09 0.000000e+00  1.989435e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  86     -1 2.165319e+13 6.142857e+01  2.431591e+09 0.000000e+00  1.827844e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  87     -1 2.165319e+13 6.214286e+01  2.243222e+09 0.000000e+00  1.681564e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  88     -1 2.165319e+13 6.285714e+01  2.074001e+09 0.000000e+00  1.550649e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  89     -1 2.165319e+13 6.357143e+01  1.923526e+09 0.000000e+00  1.434391e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  90     -1 2.165319e+13 6.428571e+01  1.790510e+09 0.000000e+00  1.332077e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  91     -1 2.165319e+13 6.500000e+01  1.673291e+09 0.000000e+00  1.242970e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  92     -1 2.165319e+13 6.571429e+01  1.570069e+09 0.000000e+00  1.165602e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  93     -1 2.165319e+13 6.642857e+01  1.478509e+09 0.000000e+00  1.098243e+09 0.000000e+00 0.000000e+00 0.000000e+00
