        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_old  cool_tot      ntot        ip    nioniz      gain macro_bf_in macro_bf_out 
2.728e+13   28      0        0  1.27e+10  0.00e+00  0.00e+00  1.48e+40  4.50e-14  2.31e+10  4.82e+05  4.82e+05  3.19e+02 -1.18e+02  5.55e+05  5.55e+05  1.00e-01  1.59e+41  1.59e+41  1.59e+41  3.88e+06  1.92e+07  3.84e+06  9.99e-01  0.00e+00  0.00e+00 
2.863e+13   29      0        0  1.32e+10  0.00e+00  0.00e+00  1.72e+40  4.51e-14  2.31e+10  4.65e+05  4.65e+05  3.99e+02 -4.76e+02  5.40e+05  5.40e+05  9.94e-02  1.59e+41  1.59e+41  1.59e+41  3.90e+06  1.75e+07  3.86e+06  4.90e-01  0.00e+00  0.00e+00 
3.006e+13   30      0        0  1.36e+10  0.00e+00  0.00e+00  2.01e+40  4.57e-14  2.34e+10  4.48e+05  4.47e+05 -1.75e+02 -7.18e+01  5.25e+05  5.24e+05  9.89e-02  1.61e+41  1.61e+41  1.61e+41  3.93e+06  1.58e+07  3.88e+06  9.99e-01  0.00e+00  0.00e+00 
3.155e+13   31      0        0  1.41e+10  0.00e+00  0.00e+00  2.35e+40  4.66e-14  2.39e+10  4.31e+05  4.31e+05  9.12e+01 -1.17e+02  5.10e+05  5.10e+05  9.87e-02  1.65e+41  1.65e+41  1.65e+41  3.95e+06  1.42e+07  3.90e+06  4.90e-01  0.00e+00  0.00e+00 
3.312e+13   32      0        0  1.45e+10  0.00e+00  0.00e+00  2.74e+40  4.67e-14  2.40e+10  4.16e+05  4.15e+05  3.27e+02 -3.60e+02  4.96e+05  4.96e+05  9.85e-02  1.66e+41  1.66e+41  1.66e+41  3.98e+06  1.30e+07  3.92e+06  4.90e-01  0.00e+00  0.00e+00 
3.477e+13   33      0        0  1.50e+10  0.00e+00  0.00e+00  3.20e+40  4.77e-14  2.45e+10  4.00e+05  4.00e+05  4.47e+02 -5.33e+02  4.82e+05  4.82e+05  9.90e-02  1.71e+41  1.71e+41  1.71e+41  4.01e+06  1.18e+07  3.94e+06  4.90e-01  0.00e+00  0.00e+00 
3.650e+13   34      0        0  1.54e+10  0.00e+00  0.00e+00  3.74e+40  4.98e-14  2.55e+10  3.85e+05  3.85e+05  3.98e+02 -3.61e+02  4.68e+05  4.68e+05  9.96e-02  1.80e+41  1.80e+41  1.80e+41  4.04e+06  1.04e+07  3.96e+06  9.99e-01  0.00e+00  0.00e+00 
3.832e+13   35      0        0  1.58e+10  0.00e+00  0.00e+00  4.36e+40  5.25e-14  2.69e+10  3.71e+05  3.71e+05  2.44e+02 -7.97e+01  4.56e+05  4.55e+05  1.00e-01  1.92e+41  1.92e+41  1.92e+41  4.07e+06  9.14e+06  3.99e+06  9.99e-01  0.00e+00  0.00e+00 
4.022e+13   36      0        0  1.61e+10  0.00e+00  0.00e+00  5.10e+40  5.34e-14  2.74e+10  3.58e+05  3.58e+05  2.66e+02  6.14e+01  4.43e+05  4.43e+05  1.01e-01  1.98e+41  1.98e+41  1.98e+41  4.10e+06  8.31e+06  4.01e+06  9.99e-01  0.00e+00  0.00e+00 
4.222e+13   37      0        0  1.65e+10  0.00e+00  0.00e+00  5.95e+40  5.51e-14  2.82e+10  3.45e+05  3.45e+05  3.13e+02 -2.21e+02  4.31e+05  4.31e+05  1.02e-01  2.07e+41  2.07e+41  2.07e+41  4.13e+06  7.49e+06  4.03e+06  9.99e-01  0.00e+00  0.00e+00 
4.432e+13   38      0        0  1.68e+10  0.00e+00  0.00e+00  6.93e+40  5.79e-14  2.97e+10  3.34e+05  3.33e+05 -8.80e+01  2.13e+02  4.20e+05  4.19e+05  1.02e-01  2.22e+41  2.22e+41  2.22e+41  4.16e+06  6.60e+06  4.05e+06  3.43e-01  0.00e+00  0.00e+00 
4.653e+13   39      0        0  1.71e+10  0.00e+00  0.00e+00  8.08e+40  6.09e-14  3.12e+10  3.23e+05  3.22e+05 -1.87e+02 -3.02e+02  4.09e+05  4.09e+05  1.02e-01  2.38e+41  2.38e+41  2.38e+41  4.19e+06  5.84e+06  4.07e+06  9.99e-01  0.00e+00  0.00e+00 
4.884e+13   40      0        0  1.73e+10  0.00e+00  0.00e+00  9.42e+40  6.22e-14  3.19e+10  3.12e+05  3.12e+05 -3.89e+02 -1.72e+03  3.98e+05  3.98e+05  1.03e-01  2.48e+41  2.48e+41  2.48e+41  4.22e+06  5.30e+06  4.09e+06  9.99e-01  0.00e+00  0.00e+00 
5.127e+13   41      0        0  1.76e+10  0.00e+00  0.00e+00  1.10e+41  6.39e-14  3.28e+10  3.02e+05  3.02e+05 -3.47e+02 -1.25e+02  3.89e+05  3.88e+05  1.03e-01  2.59e+41  2.59e+41  2.59e+41  4.25e+06  4.78e+06  4.11e+06  9.99e-01  0.00e+00  0.00e+00 
5.382e+13   42      0        0  1.78e+10  0.00e+00  0.00e+00  1.28e+41  6.55e-14  3.36e+10  2.93e+05  2.96e+05  2.92e+03 -4.55e+02  3.79e+05  3.79e+05  1.02e-01  2.71e+41  2.71e+41  2.71e+41  4.28e+06  4.31e+06  4.13e+06  9.99e-01  0.00e+00  0.00e+00 
5.650e+13   43      0        0  1.80e+10  0.00e+00  0.00e+00  1.48e+41  6.72e-14  3.45e+10  2.85e+05  2.84e+05 -4.85e+02 -4.48e+02  3.70e+05  3.70e+05  1.02e-01  2.84e+41  2.84e+41  2.84e+41  4.31e+06  3.89e+06  4.14e+06  9.99e-01  0.00e+00  0.00e+00 
5.931e+13   44      0        0  1.82e+10  0.00e+00  0.00e+00  1.73e+41  6.81e-14  3.49e+10  2.76e+05  2.76e+05 -5.66e+02 -7.93e+02  3.61e+05  3.60e+05  1.02e-01  2.91e+41  2.91e+41  2.91e+41  4.34e+06  3.55e+06  4.15e+06  9.99e-01  0.00e+00  0.00e+00 
