  i            r          v_r          rho          t_e          t_r
 75 1.832636e+14 4.488006e+07 1.408634e-12 4.494233e+00 4.993592e+00
 76 1.933508e+14 3.646634e+07 1.330546e-12 4.483053e+00 4.981170e+00
 77 2.039932e+14 2.777382e+07 1.267002e-12 4.472562e+00 4.969513e+00
 78 2.152214e+14 2.118378e+07 1.204934e-12 4.460928e+00 4.956587e+00
 79 2.270676e+14 1.694820e+07 1.143602e-12 4.450220e+00 4.944689e+00
 80 2.395658e+14 1.145143e+07 1.085474e-12 4.438791e+00 4.931990e+00
 81 2.527520e+14 8.378423e+06 1.036641e-12 4.427518e+00 4.919465e+00
 82 2.666639e+14 5.850973e+06 9.877905e-13 4.416062e+00 4.906736e+00
 83 2.813417e+14 4.646973e+06 9.440762e-13 4.403959e+00 4.893288e+00
 84 2.968273e+14 4.735758e+06 9.123998e-13 4.393680e+00 4.881867e+00
 85 3.131652e+14 4.620518e+06 8.738432e-13 4.381024e+00 4.867804e+00
 86 3.304024e+14 7.919324e+06 8.556293e-13 4.370200e+00 4.855778e+00
 87 3.485884e+14 2.471949e+07 8.492302e-13 4.359854e+00 4.844282e+00
 88 3.677754e+14 6.614939e+07 8.077900e-13 4.346439e+00 4.829376e+00
 89 3.880185e+14 1.450856e+08 7.957941e-13 4.336665e+00 4.818517e+00
 90 4.093758e+14 2.270060e+08 7.736244e-13 4.322087e+00 4.802319e+00
 91 4.319086e+14 2.783764e+08 7.490650e-13 4.307524e+00 4.786138e+00
 92 4.556817e+14 4.111937e+08 7.223291e-13 4.292044e+00 4.768937e+00
 93 4.807634e+14 4.782856e+08 6.760537e-13 4.269063e+00 4.743403e+00
 94 5.072255e+14 5.627557e+08 5.590636e-13 4.237229e+00 4.708032e+00
 95 5.351442e+14 6.817949e+08 3.780468e-13 4.198572e+00 4.665080e+00
 96 5.645996e+14 6.908912e+08 2.234719e-13 4.156239e+00 4.618043e+00
 97 5.956763e+14 8.372883e+08 1.200669e-13 4.114781e+00 4.571979e+00
 98 6.284634e+14 9.094450e+08 6.372800e-14 4.077758e+00 4.530842e+00
 99 6.630553e+14 9.798817e+08 3.276809e-14 4.047609e+00 4.497343e+00
100 6.995512e+14 1.123990e+09 1.726900e-14 4.024737e+00 4.471930e+00
101 7.380558e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
102 7.786799e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
