        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
1.072e+14   29      0        0  2.19e+08  0.00e+00  0.00e+00  9.01e+41  3.21e-12  1.64e+12  6.19e+04  6.19e+04 -1.88e+00  1.80e+01  7.51e+04  7.52e+04  7.13e-01  4.10e+42  4.10e+42  4.13e+42  2.92e+07  2.46e+03  2.28e+07  1.00e-01  0.00e+00  0.00e+00 
1.131e+14   30      0        0  2.04e+08  0.00e+00  0.00e+00  1.06e+42  2.89e-12  1.48e+12  6.04e+04  6.04e+04 -2.87e+01  1.09e+01  7.37e+04  7.38e+04  6.92e-01  3.98e+42  3.98e+42  3.99e+42  2.92e+07  2.45e+03  2.24e+07  1.21e-01  0.00e+00  0.00e+00 
1.194e+14   31      0        0  1.82e+08  0.00e+00  0.00e+00  1.24e+42  2.62e-12  1.34e+12  5.87e+04  5.87e+04 -8.69e+01  1.97e+02  7.23e+04  7.24e+04  6.71e-01  3.86e+42  3.86e+42  3.86e+42  2.91e+07  2.41e+03  2.20e+07  2.21e-01  0.00e+00  0.00e+00 
1.259e+14   32      0        0  1.58e+08  0.00e+00  0.00e+00  1.46e+42  2.39e-12  1.22e+12  5.71e+04  5.70e+04 -2.21e+01  2.70e+01  7.10e+04  7.11e+04  6.49e-01  3.70e+42  3.70e+42  3.70e+42  2.90e+07  2.36e+03  2.16e+07  1.03e-01  0.00e+00  0.00e+00 
1.329e+14   33      0        0  1.37e+08  0.00e+00  0.00e+00  1.71e+42  2.19e-12  1.12e+12  5.53e+04  5.53e+04 -1.22e+02  1.19e+02  6.97e+04  6.98e+04  6.27e-01  3.65e+42  3.65e+42  3.65e+42  2.90e+07  2.30e+03  2.12e+07  3.29e-01  0.00e+00  0.00e+00 
1.402e+14   34      0        0  1.15e+08  0.00e+00  0.00e+00  2.01e+42  2.01e-12  1.03e+12  5.37e+04  5.37e+04 -3.47e+01  4.31e+01  6.85e+04  6.85e+04  6.05e-01  3.50e+42  3.50e+42  3.49e+42  2.89e+07  2.24e+03  2.08e+07  1.00e-01  0.00e+00  0.00e+00 
1.479e+14   35      0        0  9.73e+07  0.00e+00  0.00e+00  2.36e+42  1.85e-12  9.48e+11  5.20e+04  5.20e+04  1.09e+00  1.47e+01  6.73e+04  6.73e+04  5.83e-01  3.43e+42  3.43e+42  3.44e+42  2.88e+07  2.16e+03  2.04e+07  1.10e-01  0.00e+00  0.00e+00 
1.561e+14   36      0        0  8.04e+07  0.00e+00  0.00e+00  2.78e+42  1.72e-12  8.81e+11  5.06e+04  5.06e+04  1.97e+01  1.14e+01  6.61e+04  6.59e+04  5.62e-01  3.37e+42  3.37e+42  3.38e+42  2.87e+07  2.06e+03  2.00e+07  2.20e-01  0.00e+00  0.00e+00 
1.646e+14   37      0        0  6.73e+07  0.00e+00  0.00e+00  3.26e+42  1.60e-12  8.20e+11  4.91e+04  4.91e+04  4.86e+01  1.29e+01  6.48e+04  6.46e+04  5.43e-01  3.33e+42  3.33e+42  3.35e+42  2.86e+07  1.96e+03  1.95e+07  1.10e-01  0.00e+00  0.00e+00 
1.737e+14   38      0        0  5.59e+07  0.00e+00  0.00e+00  3.83e+42  1.50e-12  7.68e+11  4.76e+04  4.76e+04  1.71e+01 -1.95e+01  6.35e+04  6.34e+04  5.25e-01  3.37e+42  3.37e+42  3.39e+42  2.85e+07  1.84e+03  1.90e+07  1.00e-01  0.00e+00  0.00e+00 
1.833e+14   39      0        0  4.49e+07  0.00e+00  0.00e+00  4.50e+42  1.41e-12  7.21e+11  4.61e+04  4.62e+04  8.58e+00 -3.54e+01  6.22e+04  6.21e+04  5.10e-01  3.39e+42  3.39e+42  3.40e+42  2.83e+07  1.73e+03  1.84e+07  1.00e-01  0.00e+00  0.00e+00 
1.934e+14   40      0        0  3.65e+07  0.00e+00  0.00e+00  5.28e+42  1.33e-12  6.81e+11  4.47e+04  4.47e+04  5.79e+01 -7.35e+01  6.08e+04  6.08e+04  4.95e-01  3.50e+42  3.50e+42  3.51e+42  2.82e+07  1.61e+03  1.79e+07  1.00e-01  0.00e+00  0.00e+00 
2.040e+14   41      0        0  2.78e+07  0.00e+00  0.00e+00  6.20e+42  1.27e-12  6.48e+11  4.33e+04  4.33e+04  1.81e+02 -2.04e+02  5.95e+04  5.94e+04  4.80e-01  3.61e+42  3.61e+42  3.62e+42  2.79e+07  1.48e+03  1.73e+07  1.00e-01  0.00e+00  0.00e+00 
2.152e+14   42      0        0  2.12e+07  0.00e+00  0.00e+00  7.28e+42  1.20e-12  6.16e+11  4.17e+04  4.18e+04  1.29e+02 -1.23e+02  5.82e+04  5.80e+04  4.63e-01  3.72e+42  3.72e+42  3.73e+42  2.76e+07  1.35e+03  1.67e+07  1.10e-01  0.00e+00  0.00e+00 
2.271e+14   43      0        0  1.69e+07  0.00e+00  0.00e+00  8.55e+42  1.14e-12  5.85e+11  4.04e+04  4.05e+04  8.69e+01 -1.64e+02  5.68e+04  5.65e+04  4.48e-01  3.88e+42  3.88e+42  3.91e+42  2.72e+07  1.23e+03  1.59e+07  1.00e-01  0.00e+00  0.00e+00 
2.396e+14   44      0        0  1.15e+07  0.00e+00  0.00e+00  1.00e+43  1.09e-12  5.55e+11  3.89e+04  3.90e+04  4.51e+02 -1.30e+03  5.53e+04  5.50e+04  4.35e-01  3.97e+42  3.97e+42  4.01e+42  2.67e+07  1.11e+03  1.52e+07  1.10e-01  0.00e+00  0.00e+00 
2.528e+14   45      0        0  8.38e+06  0.00e+00  0.00e+00  1.18e+43  1.04e-12  5.30e+11  3.73e+04  3.87e+04  2.40e+03 -3.34e+03  5.38e+04  5.33e+04  4.24e-01  4.08e+42  4.08e+42  4.21e+42  2.62e+07  9.88e+02  1.43e+07  2.64e-01  0.00e+00  0.00e+00 
2.667e+14   46      0        1  5.85e+06  0.00e+00  0.00e+00  1.39e+43  9.88e-13  5.05e+11  3.18e+04  3.93e+04  4.92e+03 -1.94e+03  5.21e+04  5.16e+04  4.16e-01  4.10e+42  4.07e+42  4.23e+42  2.55e+07  8.72e+02  1.34e+07  8.00e-01  0.00e+00  0.00e+00 
2.813e+14   47      0        0  4.65e+06  0.00e+00  0.00e+00  1.63e+43  9.44e-13  4.83e+11  3.46e+04  3.51e+04  7.70e+02 -1.53e+03  5.01e+04  4.97e+04  4.18e-01  4.54e+42  4.54e+42  4.62e+42  2.48e+07  7.56e+02  1.24e+07  1.65e-01  0.00e+00  0.00e+00 
2.968e+14   48      0        0  4.74e+06  0.00e+00  0.00e+00  1.91e+43  9.12e-13  4.67e+11  3.32e+04  3.34e+04  4.56e+02 -9.77e+02  4.78e+04  4.75e+04  4.29e-01  4.96e+42  4.96e+42  5.01e+42  2.39e+07  6.33e+02  1.12e+07  1.10e-01  0.00e+00  0.00e+00 
3.132e+14   49      0        0  4.62e+06  0.00e+00  0.00e+00  2.24e+43  8.74e-13  4.47e+11  3.22e+04  3.23e+04  1.65e+02 -3.18e+02  4.52e+04  4.50e+04  4.51e-01  5.39e+42  5.39e+42  5.42e+42  2.28e+07  5.17e+02  9.86e+06  1.00e-01  0.00e+00  0.00e+00 
3.304e+14   50      0        0  7.92e+06  0.00e+00  0.00e+00  2.63e+43  8.56e-13  4.38e+11  3.13e+04  3.13e+04  4.21e+01 -4.13e+01  4.22e+04  4.20e+04  4.88e-01  6.29e+42  6.29e+42  6.32e+42  2.16e+07  3.94e+02  8.40e+06  1.21e-01  0.00e+00  0.00e+00 
3.486e+14   51      0        0  2.47e+07  0.00e+00  0.00e+00  3.09e+43  8.49e-13  4.34e+11  3.01e+04  3.01e+04  3.06e+01 -2.90e+01  3.90e+04  3.89e+04  5.37e-01  7.60e+42  7.60e+42  7.63e+42  2.00e+07  2.79e+02  6.88e+06  1.10e-01  0.00e+00  0.00e+00 
