        r      rcen    i inwind converge     nband      nxtot        xj xave_freq  xsd_freq      fmin      fmax  fmin_mod  fmax_mod spec_mod_type  pl_alpha  pl_log_w  exp_temp     exp_w 
2.425e+14 2.485e+14   47      0        0      0  1.70e+05  1.73e+13  7.56e+14  1.88e+14  1.02e+14  1.00e+15  1.02e+14  1.00e+15  1.00e+00  2.08e+00 -3.25e+01 -1.36e+04  1.88e-03 
2.545e+14 2.608e+14   48      0        0      0  1.81e+05  1.62e+13  7.59e+14  1.84e+14  1.02e+14  1.00e+15  1.02e+14  1.00e+15  1.00e+00  2.14e+00 -3.34e+01 -1.33e+04  1.66e-03 
2.672e+14 2.738e+14   49      0        0      0  1.90e+05  1.53e+13  7.63e+14  1.86e+14  1.03e+14  1.00e+15  1.03e+14  1.00e+15  1.00e+00  2.22e+00 -3.46e+01 -1.30e+04  1.45e-03 
2.805e+14 2.874e+14   50      0        0      0  1.99e+05  1.39e+13  7.65e+14  1.82e+14  1.03e+14  1.00e+15  1.03e+14  1.00e+15  1.00e+00  2.26e+00 -3.52e+01 -1.28e+04  1.27e-03 
2.944e+14 3.017e+14   51      0        0      0  2.18e+05  1.36e+13  7.62e+14  1.87e+14  1.01e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  2.19e+00 -3.43e+01 -1.31e+04  1.32e-03 
3.091e+14 3.168e+14   52      0        0      0  2.47e+05  1.31e+13  7.63e+14  1.86e+14  1.01e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  2.21e+00 -3.45e+01 -1.30e+04  1.25e-03 
3.244e+14 3.325e+14   53      0        0      0  2.69e+05  1.21e+13  7.55e+14  1.92e+14  1.01e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  2.07e+00 -3.24e+01 -1.37e+04  1.33e-03 
3.406e+14 3.491e+14   54      0        0      0  3.16e+05  1.14e+13  7.49e+14  1.91e+14  1.01e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.97e+00 -3.11e+01 -1.42e+04  1.39e-03 
3.575e+14 3.664e+14   55      0        0      0  3.49e+05  1.08e+13  7.47e+14  1.96e+14  1.02e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.94e+00 -3.06e+01 -1.44e+04  1.36e-03 
3.753e+14 3.847e+14   56      0        0      0  3.75e+05  1.01e+13  7.45e+14  1.98e+14  1.01e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.91e+00 -3.01e+01 -1.46e+04  1.32e-03 
3.940e+14 4.038e+14   57      0        0      0  4.08e+05  9.51e+12  7.40e+14  2.00e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.84e+00 -2.91e+01 -1.51e+04  1.33e-03 
