       x        z    i    j inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
4.29e+13 1.12e+12    1   29      0        0 -6.12e+08  0.00e+00 -1.30e+08  1.20e-05 -1.46e-16 -8.98e-07  0.00e+00  0.00e+00  0.00e+00  8.18e-06 -2.96e-17 -3.35e-05 -4.83e-05  3.38e-05  1.00e+00  6.26e+05 
4.29e+13 2.63e-03    1   30     -2        0 -6.04e+08  0.00e+00  2.04e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
4.29e+13 2.63e-03    1   31     -2        0 -6.04e+08  0.00e+00  2.04e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.21e+12 4.60e+13    2    0     -2        0 -1.50e+09  0.00e+00  7.30e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.61e+12 4.59e+13    2    1     -2        0  3.21e+08  0.00e+00  8.71e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
6.01e+12 4.57e+13    2    2      0        0  1.86e+09  0.00e+00  1.12e+10  5.21e-04  3.91e-17 -4.19e-05  0.00e+00  0.00e+00  0.00e+00  1.22e-03  1.88e-15  4.95e-05  3.48e-04  9.20e-04  1.08e+00  6.26e+05 
8.39e+12 4.53e+13    2    3      0        0  2.51e+09  0.00e+00  1.35e+10  4.96e-04  5.95e-16 -6.49e-05  0.00e+00  0.00e+00  0.00e+00  1.17e-03  2.72e-15  2.99e-05  6.66e-04  8.62e-04  1.13e+00  6.26e+05 
1.08e+13 4.48e+13    2    4      0        0  3.82e+09  0.00e+00  1.54e+10  7.05e-04  3.72e-16 -1.24e-04  0.00e+00  0.00e+00  0.00e+00  9.47e-04  2.23e-15  1.81e-06  7.07e-04  8.94e-04  1.18e+00  6.26e+05 
1.31e+13 4.42e+13    2    5      0        0  5.18e+09  0.00e+00  1.66e+10  7.28e-04  2.02e-16 -1.74e-04  0.00e+00  0.00e+00  0.00e+00  5.84e-04 -8.08e-16  1.77e-05  6.96e-04  7.82e-04  1.23e+00  6.26e+05 
1.54e+13 4.34e+13    2    6      0        0  6.50e+09  0.00e+00  1.70e+10  5.94e-04  4.25e-16 -2.02e-04  0.00e+00  0.00e+00  0.00e+00  1.22e-04 -8.50e-16  7.55e-05  5.66e-04  5.97e-04  1.26e+00  6.26e+05 
1.76e+13 4.26e+13    2    7      0        0  7.42e+09  0.00e+00  1.67e+10  3.80e-04  1.28e-15 -1.76e-04  0.00e+00  0.00e+00  0.00e+00 -2.71e-04  2.56e-15  1.70e-04  4.57e-04  5.21e-04  1.26e+00  6.26e+05 
1.98e+13 4.16e+13    2    8      0        0  8.08e+09  0.00e+00  1.59e+10  1.74e-04 -4.16e-16 -1.42e-04  0.00e+00  0.00e+00  0.00e+00 -5.54e-04  8.32e-16  2.57e-04  3.34e-04  5.66e-04  1.25e+00  6.26e+05 
2.20e+13 4.05e+13    2    9      0        0  8.37e+09  0.00e+00  1.47e+10 -4.62e-05 -1.18e-15 -7.55e-05  0.00e+00  0.00e+00  0.00e+00 -7.74e-04 -3.15e-15  3.44e-04  2.07e-04  6.17e-04  1.21e+00  6.26e+05 
2.41e+13 3.93e+13    2   10      0        0  8.29e+09  0.00e+00  1.31e+10 -2.28e-04  1.47e-15 -8.44e-06  0.00e+00  0.00e+00  0.00e+00 -8.80e-04  1.47e-15  4.08e-04  9.96e-05  6.36e-04  1.17e+00  6.26e+05 
2.61e+13 3.80e+13    2   11      0        0  7.88e+09  0.00e+00  1.13e+10 -3.79e-04  1.19e-15  6.51e-05  0.00e+00  0.00e+00  0.00e+00 -9.26e-04  2.04e-15  4.50e-04 -8.04e-07  6.33e-04  1.13e+00  6.26e+05 
2.80e+13 3.65e+13    2   12      0        0  7.10e+09  0.00e+00  9.28e+09 -4.96e-04 -7.91e-16  1.32e-04  0.00e+00  0.00e+00  0.00e+00 -9.21e-04 -9.49e-16  4.58e-04 -7.82e-05  6.38e-04  1.09e+00  6.26e+05 
2.99e+13 3.50e+13    2   13      0        0  6.05e+09  0.00e+00  7.26e+09 -5.44e-04 -2.23e-16  1.92e-04  0.00e+00  0.00e+00  0.00e+00 -8.20e-04  4.47e-16  4.39e-04 -1.15e-04  6.36e-04  1.05e+00  6.26e+05 
3.17e+13 3.34e+13    2   14      0        0  4.85e+09  0.00e+00  5.43e+09 -5.04e-04  1.10e-15  2.16e-04  0.00e+00  0.00e+00  0.00e+00 -6.45e-04  9.62e-16  3.82e-04 -1.02e-04  5.53e-04  1.03e+00  6.26e+05 
3.34e+13 3.17e+13    2   15      0        0  3.79e+09  0.00e+00  4.03e+09 -3.99e-04 -2.43e-16  2.02e-04  0.00e+00  0.00e+00  0.00e+00 -4.47e-04 -1.91e-16  3.05e-04 -6.45e-05  4.19e-04  1.02e+00  6.26e+05 
3.50e+13 2.99e+13    2   16      0        0  2.94e+09  0.00e+00  3.04e+09 -2.82e-04 -1.71e-17  1.73e-04  0.00e+00  0.00e+00  0.00e+00 -2.81e-04 -4.83e-16  2.31e-04 -2.85e-05  2.87e-04  1.01e+00  6.26e+05 
3.65e+13 2.80e+13    2   17      0        0  2.34e+09  0.00e+00  2.39e+09 -1.88e-04 -2.84e-16  1.39e-04  0.00e+00  0.00e+00  0.00e+00 -1.69e-04 -4.84e-16  1.70e-04 -4.16e-06  1.88e-04  1.01e+00  6.26e+05 
