        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
2.140e+13   37      0        0  5.71e+09  0.00e+00  0.00e+00  2.87e-06 -3.59e-11 -2.69e-04  0.00e+00  2.72e-04  0.00e+00 -2.69e-04 -3.59e-11  2.87e-06  2.70e-04  2.77e-04  1.02e+00  1.00e+05 
2.246e+13   38      0        0  5.45e+09  0.00e+00  0.00e+00 -2.07e-06 -2.95e-11 -2.49e-04  0.00e+00  2.47e-04  0.00e+00 -2.49e-04 -2.95e-11 -2.07e-06  2.15e-04  2.62e-04  1.02e+00  1.00e+05 
2.358e+13   39      0        0  5.16e+09  0.00e+00  0.00e+00 -1.69e-05 -2.39e-11 -2.39e-04  0.00e+00  2.22e-04  0.00e+00 -2.39e-04 -2.39e-11 -1.69e-05  1.62e-04  2.67e-04  1.02e+00  1.00e+05 
2.475e+13   40      0        0  4.86e+09  0.00e+00  0.00e+00 -1.80e-05 -1.89e-11 -2.17e-04  0.00e+00  1.99e-04  0.00e+00 -2.17e-04 -1.89e-11 -1.80e-05  1.66e-04  2.43e-04  1.01e+00  1.00e+05 
2.598e+13   41      0        0  4.60e+09  0.00e+00  0.00e+00 -1.31e-05 -1.52e-11 -1.92e-04  0.00e+00  1.79e-04  0.00e+00 -1.92e-04 -1.52e-11 -1.31e-05  1.40e-04  2.11e-04  1.01e+00  1.00e+05 
2.728e+13   42      0        0  4.34e+09  0.00e+00  0.00e+00 -2.00e-05 -1.21e-11 -1.81e-04  0.00e+00  1.61e-04  0.00e+00 -1.81e-04 -1.21e-11 -2.00e-05  1.01e-04  2.07e-04  1.01e+00  1.00e+05 
2.863e+13   43      0        0  4.07e+09  0.00e+00  0.00e+00 -2.09e-05 -9.47e-12 -1.64e-04  0.00e+00  1.43e-04  0.00e+00 -1.64e-04 -9.47e-12 -2.09e-05  1.03e-04  1.90e-04  1.01e+00  1.00e+05 
3.006e+13   44      0        0  3.83e+09  0.00e+00  0.00e+00 -1.72e-05 -7.50e-12 -1.46e-04  0.00e+00  1.28e-04  0.00e+00 -1.46e-04 -7.50e-12 -1.72e-05  8.50e-05  1.66e-04  1.01e+00  1.00e+05 
3.155e+13   45      0        0  3.59e+09  0.00e+00  0.00e+00 -1.67e-05 -5.89e-12 -1.31e-04  0.00e+00  1.15e-04  0.00e+00 -1.31e-04 -5.89e-12 -1.67e-05  7.84e-05  1.51e-04  1.01e+00  1.00e+05 
3.312e+13   46      0        0  3.38e+09  0.00e+00  0.00e+00 -1.21e-05 -4.64e-12 -1.15e-04  0.00e+00  1.03e-04  0.00e+00 -1.15e-04 -4.64e-12 -1.21e-05  7.93e-05  1.29e-04  1.01e+00  1.00e+05 
3.477e+13   47      0        0  3.19e+09  0.00e+00  0.00e+00 -8.08e-06 -3.71e-12 -1.00e-04  0.00e+00  9.21e-05  0.00e+00 -1.00e-04 -3.71e-12 -8.08e-06  7.32e-05  1.10e-04  1.01e+00  1.00e+05 
3.650e+13   48      0        0  3.01e+09  0.00e+00  0.00e+00 -7.17e-06 -2.98e-12 -9.00e-05  0.00e+00  8.29e-05  0.00e+00 -9.00e-05 -2.98e-12 -7.17e-06  6.43e-05  9.85e-05  1.01e+00  1.00e+05 
3.832e+13   49      0        0  2.84e+09  0.00e+00  0.00e+00 -3.84e-06 -2.38e-12 -7.83e-05  0.00e+00  7.45e-05  0.00e+00 -7.83e-05 -2.38e-12 -3.84e-06  7.04e-05  8.37e-05  1.00e+00  1.00e+05 
4.022e+13   50      0        0  2.70e+09  0.00e+00  0.00e+00  2.81e-06 -1.96e-12 -6.47e-05  0.00e+00  6.75e-05  0.00e+00 -6.47e-05 -1.96e-12  2.81e-06  7.68e-05  6.75e-05  1.00e+00  1.00e+05 
