      r      theta      rho   t_gas   t_rad          v_r      v_theta
1.30522    1.68017 -8.98036 6.97861 6.37356    -0.449498  -0.00555049
1.30522    1.69666 -9.10158 7.07803 6.34719    -0.459566  -0.00499918
1.30522    1.71587 -9.24179 7.18434 6.31995     -0.47058  -0.00428481
1.30522    1.73831 -9.39652 7.32132 6.28965     -0.48112  -0.00321575
1.30522    1.76457 -9.56258 7.49104 6.25784    -0.492163  -0.00149086
1.30522    1.79527 -9.73512 7.62164 6.22544    -0.505273  0.000697604
1.30522    1.83113 -9.89507 7.79271 6.19514    -0.521305   0.00355043
1.30522    1.87295 -10.0247 7.94881 6.17105    -0.539189    0.0068634
1.30522    1.92158  -10.124 8.06357 6.15147    -0.558473    0.0109232
1.30522    1.97799 -10.2008 8.17603 6.13521    -0.577787    0.0153087
1.30522    2.04322  -10.256 8.23965 6.13122    -0.597854    0.0205906
1.30522     2.1184 -10.2952 8.27264 6.14394     -0.61361     0.025801
1.30522    2.20478 -10.3085 8.29524 6.17908     -0.61539    0.0308367
1.30522    2.30368 -10.2701 8.42045 6.22588     -0.60347    0.0332715
1.30522    2.41655 -10.1977 8.52463 6.25194    -0.612914    0.0361374
1.30522    2.54494 -10.1461 8.51349 6.25382    -0.659905    0.0381272
1.30522    2.69051 -10.1257 8.56051  6.2418     -0.72681    0.0378177
1.30522    2.85504 -10.2115 8.56137 6.19237    -0.766999    0.0304843
1.30522    3.04044 -10.3021 8.08823 6.16903    -0.751977    0.0318922
1.38145   0.101021 -10.3498 8.07936 6.15351    -0.739519   -0.0301603
1.38145   0.286184 -10.3187 7.78127 6.08855    -0.874716   -0.0368035
1.38145   0.450513 -10.2668 8.10313 6.09188    -0.849803   -0.0439326
1.38145   0.595911 -10.2695 8.14528 6.13106    -0.745285   -0.0405578
1.38145   0.724157  -10.289 8.22552 6.15002    -0.658856   -0.0361905
1.38145   0.836912 -10.3031 8.35184 6.18198    -0.575091   -0.0284513
1.38145   0.935724 -10.2946 8.46852 6.20931    -0.514855   -0.0223092
1.38145    1.02203 -10.2564 8.48086 6.21976    -0.487097   -0.0170814
1.38145    1.09717 -10.1915 8.40714   6.226    -0.473056   -0.0130051
1.38145    1.16236 -10.0972 8.29077 6.23126    -0.465193  -0.00911465
1.38145    1.21876 -9.98348 8.13873 6.23867    -0.460919  -0.00594734
1.38145    1.26739 -9.85568  7.9583  6.2469    -0.458456  -0.00298338
1.38145    1.30921 -9.71599  7.7729 6.25717    -0.456389 -0.000466204
1.38145    1.34509 -9.58249 7.57162 6.27052    -0.453276   0.00178701
1.38145    1.37582 -9.45715  7.3906 6.28487    -0.450077   0.00368336
1.38145    1.40211 -9.33664 7.23837 6.30205    -0.445826   0.00525363
1.38145    1.42461 -9.22536 7.10259 6.31956    -0.441503   0.00654607
1.38145    1.44387 -9.11588 6.99864 6.33845    -0.436639    0.0074983
1.38145    1.46041 -9.01502 6.92144 6.35884    -0.431538   0.00826652
1.38145    1.47468 -8.92491  6.8639 6.37941    -0.426126   0.00879256
1.38145    1.48707  -8.8435 6.82113 6.39967    -0.420374   0.00894175
1.38145    1.49792 -8.77191 6.79566 6.41944     -0.41499    0.0090473
1.38145    1.50752 -8.71082 6.76105 6.43848    -0.409613   0.00888372
1.38145    1.51612   -8.654 6.73981 6.45663    -0.404568   0.00874736
1.38145    1.52394 -8.60207 6.72188 6.47407    -0.399856   0.00854719
